mode,hidden_dim,batch_size,nb_batch,n_epochs,runs,output,known_outliers,real_anomaly,mean_auc,std_auc,nom_algo
supervised,20,256,50,30,10,./results/performance_global.csv,350,350,0.6719507530899451,0.01528922977806836,DEVNET
supervised,20,256,50,30,10,./results/performance_global.csv,370,370,0.6713406946791771,0.011670361186939406,DEVNET
supervised,20,256,50,30,10,./results/performance_global.csv,390,390,0.6583296386722581,0.021499662705128875,DEVNET
unsupervised,20,256,50,30,4,./results/performance_global.csv,10,0,0.1259807706925608,0.025205359560466056,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,30,0,0.07281938911354585,0.011438435562787178,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,50,0,0.11633810900306953,0.014746819228000804,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,70,0,0.1144856282960156,0.031445421088871134,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,90,0,0.13467619124916272,0.02702952046172507,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,110,0,0.12117011227572347,0.016427253648821936,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,130,0,0.09700282118347947,0.018043484460042503,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,150,0,0.17594408067088885,0.006377056686039431,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,170,0,0.19092003080724565,0.007241920738573281,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,190,0,0.2047736226130727,0.013023969712597934,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,210,0,0.18447193169539425,0.02037135084509482,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,230,0,0.17983131954873202,0.0077564788328274145,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,250,0,0.16077886852053735,0.013324170907104959,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,270,0,0.15458176579999694,0.008100207317141677,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,290,0,0.1547367690712168,0.011162606290105384,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,310,0,0.1509677718460702,0.007047497640620412,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,330,0,0.14032364982760098,0.014466932185504091,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,350,0,0.12023124412050618,0.0062197657324399675,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,370,0,0.12366667897333412,0.007612259391492406,REPEN
unsupervised,20,256,50,30,4,./results/performance_global.csv,390,0,0.12202047797186295,0.00448039016127029,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,10,5,0.5303384639484751,0.13062410554558893,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,30,15,0.6149617462652796,0.03679505130893028,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,50,25,0.6113732679047238,0.03133367796926141,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,70,35,0.5774541119592791,0.0366960954751642,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,90,45,0.6009974861629495,0.020732520310126252,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,110,55,0.6101116685846045,0.0183224537274388,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,130,65,0.5995285593511543,0.020698894031799902,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,150,75,0.5551312774671684,0.05996938145444813,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,170,85,0.6038863566717285,0.015984815858758026,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,190,95,0.5888589788796305,0.031113829802324237,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,210,105,0.5758873338025502,0.027499697952220275,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,230,115,0.5954608180789593,0.007910940277415783,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,250,125,0.6008334481118245,0.02985029014187216,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,270,135,0.583241740893538,0.023706923609728568,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,290,145,0.577561704478947,0.01902726562578207,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,310,155,0.5844513599470071,0.028290116833965782,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,330,165,0.5935002464451333,0.01814998882321784,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,350,175,0.5811917300702312,0.016436176935136774,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,370,185,0.5666266782319228,0.045285134675950856,REPEN
semi_supervised,20,256,50,30,4,./results/performance_global.csv,390,195,0.5916928564378552,0.003297917728208534,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,10,10,0.6763754179831719,0.0021885752790189268,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,30,30,0.6169070336473004,0.01714830391546836,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,50,50,0.6143634900231684,0.007603822257166555,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,70,70,0.6094208324831359,0.0026481191678064077,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,90,90,0.6081810425215252,0.007305486075211534,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,110,110,0.6129241043738405,0.008945473991248794,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,130,130,0.6254173674978356,0.0064373311315158105,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,150,150,0.6217221816018758,0.0013226199260308244,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,170,170,0.6236182125934309,0.007040380823041085,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,190,190,0.6324387277170609,0.005420510031366122,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,210,210,0.6314282488676481,0.009252450002034012,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,230,230,0.6218693113021933,0.010434452609296482,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,250,250,0.6358834247978506,0.005102927057362139,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,270,270,0.6394721377485472,0.005832476124076502,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,290,290,0.6373698951082184,0.0014604745303404619,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,310,310,0.6354509179922191,0.004537433158504825,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,330,330,0.640691802178778,0.003185073573007287,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,350,350,0.6483247427433045,0.0067079927541954425,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,370,370,0.6460255833094601,0.0054008172424992755,REPEN
supervised,20,256,50,30,4,./results/performance_global.csv,390,390,0.6551594096442398,0.004179095442508814,REPEN
